dataset,method,loss,stability,alpha,beta,loss_abs,stability_abs,loss_se,stability_se,loss_abs_se,stability_abs_se
College,"(0.6, 0.0)",1.0264352761988975,0.3755142191465613,0.6,0.0,0.0588677567499005,0.014367067573256107,0.04496845879831825,0.04720244612090341,0.0025790153118669334,0.0018059522075709127
College,"(0.6, 0.2)",1.0247432357077169,0.3581575122114538,0.6,0.2,0.05877071543579576,0.013703004886222234,0.04645361885185981,0.04486915478386348,0.0026641916915119486,0.0017166811424604274
College,"(0.6, 0.4)",1.0269941375468576,0.3384781537910743,0.6,0.4,0.058899808370349936,0.012950078211790316,0.044433993986405,0.047808441607810066,0.0025483628730150623,0.0018291374231115209
College,"(0.6, 0.6)",1.0333703362926754,0.3142235562405935,0.6,0.6,0.059265493889409486,0.012022104185235853,0.04435100378662411,0.04866290102623426,0.0025436032481204276,0.0018618287982370904
College,"(0.6, 0.8)",1.0370831038942339,0.29439539985531815,0.6,0.8,0.05947842723757619,0.011263484542848472,0.045538666173574445,0.04554855567451592,0.0026117176457032035,0.0017426748279392836
College,"(0.6, 1.0)",1.0352370129094908,0.2881827588499088,0.6,1.0,0.05937255087347608,0.011025790659149593,0.04588587453137387,0.0452054678227212,0.0026316306179308925,0.0017295483839886374
College,"(0.6, 1.2)",1.0388384950391132,0.27067884366685874,0.6,1.2,0.059579101816201706,0.010356095826280236,0.0461484060235563,0.038728961122137376,0.0026466872321951793,0.0014817590735933966
College,"(0.6, 1.4)",1.046419862462093,0.25686412388295954,0.6,1.4,0.06001390574747376,0.009827548563564166,0.04632362058309056,0.037809713945697904,0.0026567360762956085,0.001446588937212286
College,"(0.6, 1.6)",1.044131915798862,0.24200186247261812,0.6,1.6,0.05988268823113255,0.009258922655178968,0.0459421319062174,0.038466684918363594,0.002634857071205122,0.0014717244603874337
College,"(0.6, 1.8)",1.049321040894418,0.23826443169582645,0.6,1.8,0.06018029311762984,0.009115929613150974,0.04696365206464962,0.037810294520060475,0.002693442937840961,0.0014466111498228163
College,"(0.6, 2.0)",1.0475236799420262,0.2362698386962601,0.6,2.0,0.0600772115012916,0.009039617050417554,0.047214060406718654,0.038094793460910964,0.0027078042694425536,0.0014574959986496019
College,"(0.8, 0.0)",1.0362736167839053,0.3014821284194323,0.8,0.0,0.059432001816112245,0.011534620768755843,0.04531309014439081,0.04335534921892215,0.0025987804882199126,0.0016587633706814718
College,"(0.8, 0.2)",1.0463672446831755,0.28997116835804615,0.8,0.2,0.06001088803103136,0.011094214699950122,0.04413109502438494,0.0428518671143124,0.002530991117747622,0.0016395002880869075
College,"(0.8, 0.4)",1.050600203727699,0.2689653604170806,0.8,0.4,0.06025365521678913,0.01029053844288433,0.045288161655015584,0.041819388863199115,0.002597350798221224,0.0015999979628876792
College,"(0.8, 0.6)",1.0482270723883684,0.2550914632217351,0.8,0.6,0.06011755221871543,0.009759727069182019,0.04644244456614496,0.040490933545939224,0.0026635508277881776,0.0015491716390416703
College,"(0.8, 0.8)",1.0420445314596976,0.24513795119899387,0.8,0.8,0.059762973295012525,0.009378908520827324,0.04705977190078053,0.040126814674326716,0.0026989555690447014,0.0015352405542346983
College,"(0.8, 1.0)",1.0482861754289439,0.23377517810278098,0.8,1.0,0.06012094187561485,0.008944172043300886,0.04652182632605359,0.04069090128369493,0.0026681035027020655,0.001556822348001072
College,"(0.8, 1.2)",1.0524747950893754,0.22680448679929868,0.8,1.2,0.06036116612453315,0.008677475370090885,0.046767006361917406,0.03655294040432409,0.002682164982315872,0.0013985051377912291
College,"(0.8, 1.4)",1.0562066591045185,0.21487273513154928,0.8,1.4,0.06057519468352881,0.008220969933712295,0.048305188605590396,0.03772336451772161,0.0027703822720536934,0.0014432852325763689
College,"(0.8, 1.6)",1.0627307464279978,0.21654747414134756,0.8,1.6,0.0609493618565394,0.008285044973469841,0.04849924704548447,0.038103358263942136,0.0027815118437859248,0.001457823685585612
College,"(0.8, 1.8)",1.0551512990564136,0.20390056820201838,0.8,1.8,0.06051466804338304,0.007801177937393531,0.0477286531315782,0.03642705563764291,0.002737317011312145,0.0013936888223039952
College,"(0.8, 2.0)",1.0571410141137703,0.20010127513924494,0.8,2.0,0.060628781485033104,0.007655818061840683,0.04738085511145015,0.03624777228961635,0.0027173702209769427,0.001386829492231991
College,"(1.0, 0.0)",1.0548670525950512,0.24916556364859663,1.0,0.0,0.06049836603980571,0.009533003831395966,0.0480896247304253,0.039830364880462966,0.0027580193281238246,0.0015238984691594694
College,"(1.0, 0.2)",1.0516748638369637,0.24160961339084663,1.0,0.2,0.060315288747288295,0.009243915316505704,0.04815119687811479,0.03949288117301946,0.002761550592390361,0.00151098643818303
College,"(1.0, 0.4)",1.0524330358776586,0.23156422475401844,1.0,0.4,0.060358771164836796,0.008859581594941351,0.04744309456164576,0.03911287984028218,0.002720939756143281,0.0014964476949158067
College,"(1.0, 0.6)",1.0555763079473888,0.22573360121842156,1.0,0.6,0.06053904300456241,0.008636503591342656,0.047224825948842114,0.038180697606897275,0.0027084216910469167,0.0014607826669228113
College,"(1.0, 0.8)",1.0584904691573747,0.2146319507173643,1.0,0.8,0.06070617495843945,0.008211757590283477,0.048366738131061154,0.0393707107704927,0.0027739122388986573,0.0015063122332153915
College,"(1.0, 1.0)",1.0528841118007524,0.2064181175931016,1.0,1.0,0.06038464111331982,0.007897498663417985,0.0479673001467435,0.0364426200768284,0.0027510038114091423,0.0013942843133350035
College,"(1.0, 1.2)",1.058369365554659,0.1942751498872213,1.0,1.2,0.06069922946699785,0.007432912161296321,0.04784695337187408,0.03486108955832073,0.002744101725293315,0.0013337754040313634
College,"(1.0, 1.4)",1.061738743736269,0.18838825110024393,1.0,1.4,0.060892468865324026,0.0072076810825327945,0.047887795376188334,0.03477493249864614,0.002746444081631704,0.0013304790593521363
College,"(1.0, 1.6)",1.067307907259614,0.19031651240931563,1.0,1.6,0.06121186958273386,0.007281455813591689,0.04783485687912655,0.036532376746811354,0.00274340797147454,0.0013977183780842061
College,"(1.0, 1.8)",1.0670155885314547,0.18614080157464533,1.0,1.8,0.06119510462133615,0.007121694300793498,0.04817781479410516,0.035067407927451354,0.0027630771737930516,0.0013416690863468838
College,"(1.0, 2.0)",1.0700694295698445,0.18628998743328454,1.0,2.0,0.06137024744384955,0.00712740210945362,0.04844630534207474,0.036233723711905606,0.0027784755497394158,0.0013862919976312886
